,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
6256,3751-KTZEL,1,0,0,0,1,0,-1,1,0,0,0,0,0,1,1,0,2,35.05,35.05,1
5365,0847-HGRML,0,0,0,1,62,1,0,0,-1,-1,-1,-1,-1,-1,3,0,3,20.0,1250.1,0
862,0947-MUGVO,0,1,1,0,20,1,0,3,0,1,0,0,0,0,1,1,1,73.65,1463.5,1
3886,3786-WOVKF,1,1,1,0,72,1,1,3,1,1,0,0,1,1,2,1,3,106.85,7677.4,0
1372,9793-WECQC,0,0,0,0,23,1,0,3,0,1,0,0,1,1,1,0,2,95.3,2192.9,0
5948,1414-YADCW,0,0,1,0,70,1,0,3,1,1,0,1,0,0,3,0,3,84.6,5706.2,0
5495,2696-NARTR,0,0,0,0,11,1,0,3,0,0,0,1,0,0,1,1,1,73.85,926.25,1
2854,4644-PIZRT,0,0,1,1,17,1,1,1,1,0,1,0,1,0,2,1,3,70.35,1201.65,0
668,3859-CVCET,1,0,0,0,4,1,0,1,0,0,0,0,0,0,1,0,2,45.65,191.05,1
5946,6261-RCVNS,1,0,0,0,42,1,0,1,1,1,1,1,0,1,2,0,4,73.9,3160.55,1
6991,3585-ISXZP,1,0,0,0,8,1,1,3,0,0,0,0,1,1,1,0,3,95.65,778.1,1
2935,9435-JMLSX,0,0,1,0,71,1,0,1,1,1,1,1,1,1,3,1,3,86.1,6045.9,0
5544,9572-MTILT,0,0,1,0,59,1,1,3,1,1,1,1,1,0,1,1,1,106.75,6252.9,1
540,6859-QNXIQ,1,0,1,1,72,1,1,3,1,1,1,1,1,1,3,1,3,113.1,8248.5,0
774,2037-XJFUP,0,0,1,0,33,1,0,3,0,0,1,0,1,1,2,1,1,95.8,3036.75,1
2160,7101-HRBLJ,1,0,1,1,72,1,0,1,1,1,1,1,1,1,3,1,3,83.7,6096.9,0
1025,7868-TMWMZ,1,1,1,0,60,1,0,3,1,1,1,1,1,1,3,1,3,110.0,6668.35,0
4484,7465-ZZRVX,0,0,0,0,1,1,0,3,0,0,0,0,0,0,1,1,1,70.35,70.35,0
6579,3938-YFPXD,0,0,0,0,72,1,1,1,1,0,1,1,1,1,3,0,4,84.3,5997.1,0
6662,6810-VCAEX,1,0,0,0,47,0,-1,1,1,1,0,1,0,0,2,0,4,39.65,1798.65,0
2714,6838-YAUVY,1,0,0,0,54,1,1,3,0,0,1,1,0,1,3,1,3,95.1,5064.85,0
1511,9972-EWRJS,1,0,1,1,67,1,0,0,-1,-1,-1,-1,-1,-1,3,1,3,19.25,1372.9,0
5284,3317-HRTNN,1,1,0,0,5,0,-1,1,0,0,0,0,1,1,1,0,1,45.7,198,1
1864,7105-MXJLL,1,1,1,0,26,1,0,1,0,0,1,0,0,1,2,0,2,60.7,1597.4,0
5456,8718-PTMEZ,1,0,0,0,13,0,-1,1,0,1,0,0,0,0,1,1,1,31.05,347.25,1
6423,0480-KYJVA,1,0,1,1,72,1,1,0,-1,-1,-1,-1,-1,-1,3,0,4,24.25,1784.5,0
3818,8819-ZBYNA,1,0,1,0,58,1,1,3,1,1,0,1,1,1,3,1,4,109.1,6393.65,0
6949,3648-GZPHF,0,0,1,1,32,0,-1,1,0,0,1,1,0,0,2,1,2,36.25,1151.05,0
5259,5419-JKZNQ,0,1,1,0,30,1,1,3,0,0,0,0,0,0,1,0,2,77.9,2351.45,0
28,5248-YGIJN,0,0,1,0,72,1,1,1,1,1,1,1,1,1,3,1,4,90.25,6369.45,0
2701,1697-LYYYX,1,0,1,1,61,1,0,0,-1,-1,-1,-1,-1,-1,2,0,4,19.1,1143.8,0
6141,5385-SUIRI,0,1,1,0,52,1,1,3,1,0,1,0,1,1,1,1,1,104.2,5568.35,1
1414,5302-BDJNT,0,0,0,0,35,1,1,3,0,0,1,1,1,0,1,0,1,95.5,3418.2,0
3828,8747-UDCOI,1,0,1,0,65,1,0,0,-1,-1,-1,-1,-1,-1,3,0,3,19.35,1319.95,0
1051,3845-JHAMY,1,0,1,1,16,0,-1,1,0,0,0,0,0,1,1,1,4,35.5,552.7,0
5227,4060-LDNLU,0,0,0,0,7,1,1,3,0,0,0,0,1,1,1,0,1,96.2,639.7,0
6902,5820-PTRYM,1,1,1,0,56,1,1,1,1,1,1,1,0,0,2,1,4,68.45,4014,0
1113,7627-JKIAZ,1,0,1,0,37,1,1,3,0,0,1,0,0,0,1,1,4,78.95,2839.65,1
2821,4102-OQUPX,0,1,1,0,1,1,1,3,0,0,0,0,0,0,1,1,1,74.4,74.4,1
5933,6496-SLWHQ,0,1,0,0,3,1,1,3,0,1,1,0,1,1,1,1,1,105.0,294.45,1
3604,9313-CDOGY,0,0,1,1,38,1,0,0,-1,-1,-1,-1,-1,-1,1,0,1,19.6,717.3,0
1326,6682-VCIXC,1,0,1,1,43,0,-1,1,1,1,0,1,1,0,2,1,3,51.25,2151.6,0
4585,1069-XAIEM,1,1,0,0,1,1,1,3,0,0,0,0,0,1,1,1,1,85.05,85.05,1
992,4883-KCPZJ,1,0,1,1,22,1,1,0,-1,-1,-1,-1,-1,-1,3,0,4,25.25,555.4,0
707,8329-UTMVM,0,1,0,0,27,1,1,3,0,1,0,1,1,1,2,1,3,104.65,2964,0
6410,6121-TNHBO,1,1,0,0,63,1,1,1,1,1,1,1,1,0,2,0,3,83.0,5243.05,0
1480,8898-KASCD,0,0,0,0,39,0,-1,1,0,0,1,1,0,0,2,0,2,35.55,1309.15,0
1221,3055-MJDSB,0,0,0,0,9,0,-1,1,0,0,0,0,0,0,1,1,2,24.6,190.1,0
2318,6463-HHXJR,1,0,1,1,71,1,1,3,1,1,1,0,1,0,3,0,3,100.5,7030.65,0
472,1304-BCCFO,0,0,1,0,9,1,0,1,0,0,1,0,1,1,1,1,2,70.05,564.4,0
1550,9957-YODKZ,0,1,1,0,6,1,1,3,0,0,1,0,0,0,1,1,1,80.8,457.1,0
1608,2387-KDZQY,0,0,0,0,17,1,0,0,-1,-1,-1,-1,-1,-1,2,1,2,20.1,279.5,0
1193,5232-NXPAY,1,0,0,0,47,1,0,1,0,0,1,1,1,1,3,0,2,74.45,3510.3,0
5891,4905-JEFDW,0,0,0,0,11,0,-1,1,0,0,1,0,1,0,2,1,1,41.6,470.6,1
3217,3594-IVHJZ,1,0,0,0,2,1,0,0,-1,-1,-1,-1,-1,-1,1,1,2,20.45,42.45,0
1471,9777-WJJPR,0,0,1,0,31,1,1,3,0,0,1,0,1,0,1,0,4,88.65,2683.2,0
4771,1678-FYZOW,1,0,0,0,3,1,0,3,0,0,0,0,1,0,1,1,1,79.4,244.65,1
3131,8336-TAVKX,1,1,1,0,72,1,1,1,1,1,1,1,0,1,3,0,3,78.45,5682.25,0
4789,0511-JTEOY,1,0,0,0,1,1,0,3,0,0,0,0,0,0,1,0,2,71.1,71.1,1
393,9967-ATRFS,1,0,0,0,19,1,0,0,-1,-1,-1,-1,-1,-1,1,0,2,19.9,367.55,0
110,0486-HECZI,0,0,1,0,55,1,1,3,1,1,0,0,1,0,1,1,1,96.75,5238.9,1
1712,6303-KFWSL,1,0,0,0,29,1,1,1,0,1,0,0,0,0,2,1,1,55.25,1620.2,0
6378,0637-UBJRP,0,0,1,1,13,1,0,3,1,0,0,0,0,1,1,0,1,84.05,1095.3,1
2475,0320-DWVTU,1,0,0,0,53,1,0,3,1,1,1,1,0,1,3,0,2,99.5,5424.25,0
6937,7746-AWNQW,1,0,0,0,28,0,-1,1,0,0,1,1,0,0,1,1,2,35.75,961.4,0
6340,3323-CPBWR,0,0,0,0,23,1,1,3,0,0,1,1,1,0,1,1,4,96.9,2085.45,0
5788,4815-GBTCD,1,0,1,0,4,0,-1,1,0,0,0,0,0,0,1,1,1,25.15,99.95,0
4277,5955-EPOAZ,1,0,0,0,6,1,0,0,-1,-1,-1,-1,-1,-1,1,1,2,20.95,109.5,0
3020,5199-FPUSP,0,0,0,1,33,0,-1,1,1,0,0,1,0,0,2,0,4,34.05,1113.95,0
1536,2882-WDTBA,0,0,1,1,69,1,0,1,1,1,1,1,1,0,3,1,3,75.75,5388.15,0
5106,8878-RYUKI,1,0,0,0,52,1,0,1,0,0,1,0,0,1,1,1,1,59.45,3043.7,0
4012,6689-KXGBO,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,50.55,50.55,1
4018,2969-WGHQO,1,0,1,1,7,1,0,1,1,1,1,0,1,0,2,0,1,69.45,477.05,0
4360,2675-OTVVJ,0,1,1,0,31,1,1,3,1,0,0,0,1,0,1,0,1,89.45,2807.65,0
1978,0602-DDUML,1,0,0,0,57,1,0,1,0,1,1,1,1,0,3,0,2,69.75,3894.4,0
66,8627-ZYGSZ,0,0,1,0,47,1,1,3,0,1,0,0,0,0,2,1,1,78.9,3650.35,0
1128,0098-BOWSO,0,0,0,0,27,1,0,0,-1,-1,-1,-1,-1,-1,1,1,1,19.4,529.8,0
4214,4228-ZGYUW,0,0,0,0,4,1,1,3,0,1,0,0,0,1,1,1,1,90.05,368.1,1
3435,4450-DLLMH,0,0,0,0,2,1,0,3,0,0,0,0,0,0,1,1,4,71.3,157.75,0
3672,9378-FXTIZ,1,0,1,0,54,1,1,1,0,0,0,0,1,1,2,1,4,70.15,3715.65,1
5973,2324-EFHVG,0,0,0,0,64,1,1,3,0,1,1,0,1,1,3,1,3,104.4,6692.65,0
5722,3096-JRDSO,1,1,1,0,27,1,1,3,1,0,0,1,1,1,1,1,3,104.3,2867.75,1
2945,3987-KQDDU,0,0,0,0,9,1,0,3,1,0,0,0,0,0,1,0,1,75.6,661.55,0
4928,2718-GAXQD,1,1,1,1,4,1,0,1,0,0,0,0,0,0,1,0,1,46.0,181.6,1
4,9237-HQITU,1,0,0,0,2,1,0,3,0,0,0,0,0,0,1,1,1,70.7,151.65,1
1730,3877-JRJIP,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,59.85,59.85,1
80,5919-TMRGD,1,0,0,1,1,1,0,3,0,0,0,0,1,0,1,1,1,79.35,79.35,1
2156,2737-YNGYW,1,0,0,0,2,1,0,3,0,0,0,0,0,1,1,0,1,80.55,184.1,1
2909,9619-GSATL,1,0,0,0,43,1,0,1,0,1,0,1,0,0,2,0,1,55.45,2444.25,0
4819,0607-DAAHE,0,0,0,1,53,1,0,0,-1,-1,-1,-1,-1,-1,3,0,3,19.75,1052.35,1
2660,5639-NTUPK,0,0,0,1,13,1,0,1,1,0,0,0,0,0,1,1,4,52.1,670.65,0
6004,6736-DHUQI,1,0,1,1,67,1,0,3,1,1,1,0,0,0,2,0,3,84.8,5598.3,0
6763,7471-MQPOS,0,1,1,1,71,1,1,1,0,1,1,1,0,1,2,1,3,72.9,5139.65,0
3550,0963-ZBDRN,0,0,0,0,32,1,0,3,0,0,0,1,1,1,1,1,1,96.2,3183.4,1
248,0322-YINQP,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,2,48.55,48.55,1
5312,9564-KCLHR,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,2,51.25,51.25,1
177,2070-FNEXE,1,1,0,0,7,1,0,3,1,0,0,0,0,0,1,0,3,76.45,503.6,1
